Id,Label,Modularity_Class,Pageranks,Filter,Level1,Liste2,25nisan,X,Y,Size,Color
2314601683,,5,1.5E-05,false,,,,0.448927,0.622931,0.002301,#b9b0aa
,,,,,,,,,,,
46241417341,,17,1.5E-05,false,,,,0.301867,0.603364,0.002406,#ffedad
,,,,,,,,,,,
55901814559,,19,1.4E-05,false,,,,0.296414,0.740558,0.000714,#ffd3ff
,,,,,,,,,,,
48530348115,,17,1.4E-05,false,,,,0.217583,0.703629,0.000529,#ffedad
,,,,,,,,,,,
49319669534,,17,1.6E-05,false,,,,0.248731,0.624012,0.002616,#ffedad
,,,,,,,,,,,
608617257,,34,1.7E-05,false,,,,0.361457,0.535089,0.004352,#ff9891
,,,,,,,,,,,
55077150335,,34,1.4E-05,false,,,,0.246354,0.613238,0.000838,#ff9891
,,,,,,,,,,,
2287954335,,19,1.4E-05,false,,,,0.261244,0.765608,0.000899,#ffd3ff
,,,,,,,,,,,
40861983216,,17,1.4E-05,false,,,,0.223955,0.630679,0.000958,#ffedad
,,,,,,,,,,,
12320041565,,19,1.4E-05,false,,,,0.290495,0.774082,0.000697,#ffd3ff
,,,,,,,,,,,
24292761651,,17,1.4E-05,false,,,,0.293665,0.703441,0.000689,#ffedad
,,,,,,,,,,,
59642378277,basarimindseti,34,1.9E-05,true,,,,0.34748,0.501155,0.006315,#ff9891
,,,,,,,,,,,
45297100470,,19,1.5E-05,false,,,,0.37934,0.680013,0.001575,#ffd3ff
,,,,,,,,,,,
43313757852,,17,1.7E-05,false,,,,0.285318,0.644331,0.004679,#ffedad
,,,,,,,,,,,
9132529715,,34,1.4E-05,false,,,,0.391557,0.498568,0.000461,#ff9891
,,,,,,,,,,,
57505220253,,17,1.7E-05,false,,,,0.380965,0.517802,0.003658,#ffedad
,,,,,,,,,,,
1540921704,nerminyazilitas,19,2.7E-05,true,,,,0.41572,0.763947,0.014353,#ffd3ff
,,,,,,,,,,,
45014602521,,19,1.4E-05,false,,,,0.341015,0.782875,0.000934,#ffd3ff
,,,,,,,,,,,
37834872295,,17,1.4E-05,false,,,,0.295878,0.589825,0.000578,#ffedad
,,,,,,,,,,,
1944570523,,17,1.5E-05,false,,,,0.279071,0.673757,0.002223,#ffedad
,,,,,,,,,,,
47951853518,,17,1.3E-05,false,,,,0.23496,0.676627,0.000396,#ffedad
,,,,,,,,,,,
51281009812,,34,1.5E-05,false,,,,0.254254,0.558379,0.002135,#ff9891
,,,,,,,,,,,
7110354229,abdullahkalinsazli,34,2.1E-05,true,,,,0.335939,0.566689,0.008311,#ff9891
,,,,,,,,,,,
54347621284,,17,1.4E-05,false,,,,0.367307,0.649606,0.000847,#ffedad
,,,,,,,,,,,
15455859221,,19,1.5E-05,false,,,,0.355428,0.647193,0.001767,#ffd3ff
,,,,,,,,,,,
18365153660,,28,1.5E-05,false,,,,0.357475,0.585767,0.002096,#ffec75
,,,,,,,,,,,
57253796986,,34,1.3E-05,false,,,,0.243291,0.568104,0.000356,#ff9891
,,,,,,,,,,,
53836648849,,19,1.3E-05,false,,,,0.298529,0.706015,0.000448,#ffd3ff
,,,,,,,,,,,
45402285702,,34,1.4E-05,false,,,,0.258617,0.649672,0.000793,#ff9891
,,,,,,,,,,,
51420809548,,17,1.3E-05,false,,,,0.275877,0.593042,0.000328,#ffedad
,,,,,,,,,,,
60263053206,,34,1.5E-05,false,,,,0.388895,0.582156,0.00168,#ff9891
,,,,,,,,,,,
57307965246,,19,1.4E-05,false,,,,0.297634,0.654267,0.000936,#ffd3ff
,,,,,,,,,,,
5820254075,sevilaydan_dikisnakis,19,1.9E-05,true,,,,0.290836,0.701042,0.006196,#ffd3ff
,,,,,,,,,,,
29413575107,,17,1.5E-05,false,,,,0.274801,0.62468,0.002144,#ffedad
,,,,,,,,,,,
5807396936,,19,1.4E-05,false,,,,0.260376,0.767476,0.000862,#ffd3ff
,,,,,,,,,,,
